Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Material (product.metafields.custom.material),Pattern (product.metafields.custom.pattern),Text Size Chart (product.metafields.product.size),Age group (product.metafields.shopify.age-group),Baby/Toddler clothing features (product.metafields.shopify.baby-toddler-clothing-features),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Disclosures (product.metafields.shopify.disclosure),Dress occasion (product.metafields.shopify.dress-occasion),Dress style (product.metafields.shopify.dress-style),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Recommended age group (product.metafields.shopify.recommended-age-group),Size (product.metafields.shopify.size),Skirt/Dress length type (product.metafields.shopify.skirt-dress-length-type),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ivory-seq-hem-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_1.01.35_PM.jpg?v=1782977977,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ivory-seq-hem-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_1.01.15_PM.jpg?v=1782977981,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ivory-seq-hem-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ivory-seq-hem-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
ivory-seq-hem-frock,,,,,,,,,10-11-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
puff-shimmer-light-copper-puff-sleeve-frock,PUFF SHIMMER LIGHT COPPER PUFF SLEEVE FROCK,"<p>A dress that sparkles as brightly as your little one's happiest moments. Crafted in luxurious shimmer fabric with delicate sequined puff sleeves, layered frills, and a soft glitter tulle skirt, this outfit is the perfect blend of elegance and comfort. The beautiful floral waist detail adds a charming finishing touch, making it ideal for birthdays, weddings, festive celebrations, and every magical occasion.<br>Because every little princess deserves to shine with grace, sparkle, and confidence.  </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,SIZE,4-5 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.43_3.jpg?v=1782976946,1,"",false,,,,,,,,,,copper-bronze-mix,,birthday; formal; party; everyday,flared,seq; cotton; satin; other,,round,,4-5-years; 5-6-years; 6-7-years; 7-8-years; 8-9-years,short,short,female,,,,,,,kg,,,active
puff-shimmer-light-copper-puff-sleeve-frock,,,,,,,,,5-6 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_11.08.34_AM.jpg?v=1782976049,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
puff-shimmer-light-copper-puff-sleeve-frock,,,,,,,,,6-7 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_11.01.43_AM_1.jpg?v=1782976997,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
puff-shimmer-light-copper-puff-sleeve-frock,,,,,,,,,7-8 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
puff-shimmer-light-copper-puff-sleeve-frock,,,,,,,,,8-9 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
puff-shimmer-sleeve-golden-frock,PUFF SHIMMER SLEEVE GOLDEN FROCK,"<p>A dress that sparkles as brightly as your little one's happiest moments. Crafted in luxurious shimmer fabric with delicate sequined puff sleeves, layered frills, and a soft glitter tulle skirt, this outfit is the perfect blend of elegance and comfort. The beautiful floral waist detail adds a charming finishing touch, making it ideal for birthdays, weddings, festive celebrations, and every magical occasion.<br>Because every little princess deserves to shine with grace, sparkle, and confidence.  </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.43_2.jpg?v=1782975992,1,"",false,,,,,,,,,,gold,,,,cotton; seq; satin; other,,,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years,,,female,,,,,,,kg,,,active
puff-shimmer-sleeve-golden-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_11.01.43_AM.jpg?v=1782976044,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
puff-shimmer-sleeve-golden-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_11.08.34_AM.jpg?v=1782976049,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
puff-shimmer-sleeve-golden-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
puff-shimmer-sleeve-golden-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-shimmer-organza-frock,PINK SHIMMER ORGANZA FROCK,"<p>Premium shimmer organza fabric<br>Statement cascading ruffle design<br>Elegant puff sleeves with delicate lace trim<br>Soft, lightweight &amp; comfortable lining<br>Perfect for birthdays, weddings, festive occasions &amp; photoshoots<br>Because every little girl deserves to feel like a princess. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.47.jpg?v=1782973872,1,"",false,,,,,,,,,,pink,,birthday; wedding; party; formal,a-line,cotton; satin; organza,,round,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years; 10-11-years,short,short,female,,,,,,,kg,,,active
pink-shimmer-organza-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.51.36_AM.jpg?v=1782973898,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-shimmer-organza-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-shimmer-organza-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-shimmer-organza-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-shimmer-organza-frock,,,,,,,,,10-11-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-pearl-embellished-ruffle-neckline-seq-frock,PINK PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,"<p>Pearl-embellished ruffle neckline.<br>Intricate sequin &amp; 3D floral detailing.<br>Soft layered tulle flare for a princess look.<br>Premium fabric with all-day comfort.<br> Perfect for birthdays, weddings, parties &amp; festive celebrations<br>A dress made for little girls who love to sparkle with elegance.</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,4-5-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.46_3_ec686e1f-e60f-4ac3-b04c-961d83fda3a6.jpg?v=1782972613,1,"",false,,,,,,,,,,pink,,birthday; party; formal,flared,,,round,,4-5-years; 5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years,short,cap,female,,,,,,,kg,,,active
pink-pearl-embellished-ruffle-neckline-seq-frock,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.42.21_AM.jpg?v=1782972658,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-pearl-embellished-ruffle-neckline-seq-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.42.21_AM_1.jpg?v=1782972665,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-pearl-embellished-ruffle-neckline-seq-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-pearl-embellished-ruffle-neckline-seq-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-pearl-embellished-ruffle-neckline-seq-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-pearl-embellished-ruffle-neckline-seq-frock,CREAM PEARL EMBELLISHED RUFFLE NECKLINE SEQ FROCK,"<p>Pearl-embellished ruffle neckline.<br>Intricate sequin &amp; 3D floral detailing.<br>Soft layered tulle flare for a princess look.<br>Premium fabric with all-day comfort.<br> Perfect for birthdays, weddings, parties &amp; festive celebrations<br>A dress made for little girls who love to sparkle with elegance.</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,Size,5-6-years,product.metafields.shopify.size,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.42.21_AM_2.jpg?v=1782971733,1,"",false,,,,,,,,,,beige; cream,,birthday; party; formal,flared,,,round,,5-6-years; 6-7-years; 7-8-years; 8-9-years; 9-10-years,short,short,female,,,,,,,kg,,,active
cream-pearl-embellished-ruffle-neckline-seq-frock,,,,,,,,,6-7-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.42.12_AM.jpg?v=1782971738,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-pearl-embellished-ruffle-neckline-seq-frock,,,,,,,,,7-8-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_11.31.59_AM.jpg?v=1782972900,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-pearl-embellished-ruffle-neckline-seq-frock,,,,,,,,,8-9-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
cream-pearl-embellished-ruffle-neckline-seq-frock,,,,,,,,,9-10-years,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sparkle-net-frock,PINK SPARKLE NET FROCK,"<p>Where Sparkle Meets Sophistication .<br>Crafted in premium glamour sequin fabric, this dress is designed to make every little star shine. The shimmering sequins catch the light beautifully, while the soft tulle ruffle sleeves and layered net hem add a dreamy, graceful touch. Lightweight, comfortable, and lined with soft fabric, it lets your little one twirl, play, and sparkle with ease. </p>
<p>KINDLY PLEASE VERIFY THE MEASUREMENTS BEFORE PLACING THE ORDER, AS WE DO NOT HAVE EXCHANGE OR REFUND</p>",Beautifulmessstore,Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Dresses,"","",true,SIZE,5-6 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsAppImage2026-06-23at13.19.48_3.jpg?v=1782970848,1,"",false,,,,,,,,,,pink,,party; formal,shift,net; seq; cotton,,round,,,short,cap,female,,,,,,,kg,,,active
pink-sparkle-net-frock,,,,,,,,,6-7 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.24.11_AM_3.jpg?v=1782970867,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sparkle-net-frock,,,,,,,,,7-8 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0662/0646/6244/files/WhatsApp_Image_2026-07-02_at_10.24.11_AM_1.jpg?v=1782970872,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sparkle-net-frock,,,,,,,,,8-9 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
pink-sparkle-net-frock,,,,,,,,,9-10 YEARS,,,,,,,,,0.0,shopify,1,deny,manual,5500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
