Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
pink-shimmer-organza-frock,PINK SHIMMER ORGANZA FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-shimmer-organza-frock,PINK SHIMMER ORGANZA FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-shimmer-organza-frock,PINK SHIMMER ORGANZA FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-shimmer-organza-frock,PINK SHIMMER ORGANZA FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-shimmer-organza-frock,PINK SHIMMER ORGANZA FROCK,Size,10-11 years,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-sleeve-golden-frock,PUFF SHIMMER SLEEVE GOLDEN FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-sleeve-golden-frock,PUFF SHIMMER SLEEVE GOLDEN FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-sleeve-golden-frock,PUFF SHIMMER SLEEVE GOLDEN FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-sleeve-golden-frock,PUFF SHIMMER SLEEVE GOLDEN FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-sleeve-golden-frock,PUFF SHIMMER SLEEVE GOLDEN FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-light-copper-puff-sleeve-frock,PUFF SHIMMER LIGHT COPPER PUFF SLEEVE FROCK,SIZE,4-5 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-light-copper-puff-sleeve-frock,PUFF SHIMMER LIGHT COPPER PUFF SLEEVE FROCK,SIZE,5-6 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-light-copper-puff-sleeve-frock,PUFF SHIMMER LIGHT COPPER PUFF SLEEVE FROCK,SIZE,6-7 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-light-copper-puff-sleeve-frock,PUFF SHIMMER LIGHT COPPER PUFF SLEEVE FROCK,SIZE,7-8 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
puff-shimmer-light-copper-puff-sleeve-frock,PUFF SHIMMER LIGHT COPPER PUFF SLEEVE FROCK,SIZE,8-9 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
ivory-seq-hem-frock,IVORY SEQ HEM FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
ivory-seq-hem-frock,IVORY SEQ HEM FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
ivory-seq-hem-frock,IVORY SEQ HEM FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
ivory-seq-hem-frock,IVORY SEQ HEM FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
ivory-seq-hem-frock,IVORY SEQ HEM FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
ivory-seq-hem-frock,IVORY SEQ HEM FROCK,Size,10-11 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,PINK RUFFLE SLEEVE WITH BEAUTIFUL SEQ WORK ON CHEST,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,PINK RUFFLE SLEEVE WITH BEAUTIFUL SEQ WORK ON CHEST,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,PINK RUFFLE SLEEVE WITH BEAUTIFUL SEQ WORK ON CHEST,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,PINK RUFFLE SLEEVE WITH BEAUTIFUL SEQ WORK ON CHEST,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,PINK RUFFLE SLEEVE WITH BEAUTIFUL SEQ WORK ON CHEST,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-sleeve-with-beautiful-seq-work-on-chest,PINK RUFFLE SLEEVE WITH BEAUTIFUL SEQ WORK ON CHEST,Size,10-11 years,,,,,"",,,Shop location,,0,0,0,1,1,
sling-bags,SLING BAGS,Title,Default Title,,,,,"",,,Shop location,,0,0,0,2,2,
sling-bags-1,SLING BAGS,Title,Default Title,,,,,"",,,Shop location,,0,0,0,2,2,
sling-bags-2,SLING BAGS,Title,Default Title,,,,,"",,,Shop location,,0,0,0,2,2,
sling-bags-3,SLING BAGS,Title,Default Title,,,,,"",,,Shop location,,0,0,0,2,2,
sling-bags-4,SLING BAGS,Title,Default Title,,,,,"",,,Shop location,,0,0,0,2,2,
sling-bags-5,SLING BAGS,Title,Default Title,,,,,"",,,Shop location,,0,0,0,2,2,
sling-bags-6,SLING BAGS,Title,Default Title,,,,,"",,,Shop location,,0,0,0,2,2,
sling-bags-7,SLING BAGS,Title,Default Title,,,,,"",,,Shop location,,0,0,0,2,2,
beige-sleeveless-3d-floral-frock,BEIGE SLEEVELESS 3D FLORAL FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sleeveless-frock,PINK SLEEVELESS FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sleeveless-frock,PINK SLEEVELESS FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sleeveless-frock,PINK SLEEVELESS FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-frock,CREAM SLEEVELESS FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-frock,CREAM SLEEVELESS FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-frock,CREAM SLEEVELESS FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-frock,CREAM SLEEVELESS FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-frock,CREAM SLEEVELESS FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-frock,CREAM SLEEVELESS FROCK,Size,10-11 years,,,,,"",,,Shop location,,0,0,0,1,1,
grey-floral-sleeveless-frock,GREY FLORAL SLEEVELESS FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
grey-floral-sleeveless-frock,GREY FLORAL SLEEVELESS FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
grey-floral-sleeveless-frock,GREY FLORAL SLEEVELESS FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
grey-floral-sleeveless-frock,GREY FLORAL SLEEVELESS FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
grey-floral-sleeveless-frock,GREY FLORAL SLEEVELESS FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
grey-floral-sleeveless-frock,GREY FLORAL SLEEVELESS FROCK,Size,10-11 years,,,,,"",,,Shop location,,0,0,0,1,1,
light-maroon-floral-sleeveless-frock,LIGHT MAROON FLORAL SLEEVELESS FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
light-maroon-floral-sleeveless-frock,LIGHT MAROON FLORAL SLEEVELESS FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
light-maroon-floral-sleeveless-frock,LIGHT MAROON FLORAL SLEEVELESS FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
light-maroon-floral-sleeveless-frock,LIGHT MAROON FLORAL SLEEVELESS FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
light-maroon-floral-sleeveless-frock,LIGHT MAROON FLORAL SLEEVELESS FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
light-maroon-floral-sleeveless-frock,LIGHT MAROON FLORAL SLEEVELESS FROCK,Size,10-11 years,,,,,"",,,Shop location,,0,0,0,1,1,
brown-sleeveless-floral-frock,BROWN SLEEVELESS FLORAL FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
brown-sleeveless-floral-frock,BROWN SLEEVELESS FLORAL FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
brown-sleeveless-floral-frock,BROWN SLEEVELESS FLORAL FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
brown-sleeveless-floral-frock,BROWN SLEEVELESS FLORAL FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
brown-sleeveless-floral-frock,BROWN SLEEVELESS FLORAL FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
brown-sleeveless-floral-frock,BROWN SLEEVELESS FLORAL FROCK,Size,10-11 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-ruffle-neck-seq-frock,CREAM RUFFLE NECK SEQ FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-ruffle-neck-seq-frock,CREAM RUFFLE NECK SEQ FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-ruffle-neck-seq-frock,CREAM RUFFLE NECK SEQ FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-ruffle-neck-seq-frock,CREAM RUFFLE NECK SEQ FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-neck-seq-frock,PINK RUFFLE NECK SEQ FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-neck-seq-frock,PINK RUFFLE NECK SEQ FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-neck-seq-frock,PINK RUFFLE NECK SEQ FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-neck-seq-frock,PINK RUFFLE NECK SEQ FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-ruffle-neck-seq-frock,PINK RUFFLE NECK SEQ FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-ruffle-seq-frock,BLACK RUFFLE SEQ FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-ruffle-seq-frock,BLACK RUFFLE SEQ FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-ruffle-seq-frock,BLACK RUFFLE SEQ FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-ruffle-seq-frock,BLACK RUFFLE SEQ FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-ruffle-seq-frock,BLACK RUFFLE SEQ FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-sparkle-net-frock,BLACK SPARKLE NET FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-sparkle-net-frock,BLACK SPARKLE NET FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-sparkle-net-frock,BLACK SPARKLE NET FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-sparkle-net-frock,BLACK SPARKLE NET FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-sparkle-net-frock,BLACK SPARKLE NET FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
black-sparkle-net-frock,BLACK SPARKLE NET FROCK,Size,10-11 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sparkle-net-frock,PINK SPARKLE NET FROCK,SIZE,5-6 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sparkle-net-frock,PINK SPARKLE NET FROCK,SIZE,6-7 YEARS,,,,,"",,,Shop location,,0,0,0,1,1,
blue-frock-with-big-bow-on-shoulder,BLUE FROCK WITH BIG BOW ON SHOULDER,SIZE,4-5 years,"IMPORTANT NOTICE: EVERY DRESS HAS DIFFERENT SIZES CHART, KINDLY CONFIRM THE SIZE ON WHAT'S APP BEFORE CONFIRMING YOUR ORDER AS WE HAVE NO RETURN OR REFUND.",PLEASE READ BEFORE CONFIRMING ORDER,,,"",,,Shop location,,0,0,0,1,1,
blue-frock-with-big-bow-on-shoulder,BLUE FROCK WITH BIG BOW ON SHOULDER,SIZE,5-6 years,"IMPORTANT NOTICE: EVERY DRESS HAS DIFFERENT SIZES CHART, KINDLY CONFIRM THE SIZE ON WHAT'S APP BEFORE CONFIRMING YOUR ORDER AS WE HAVE NO RETURN OR REFUND.",PLEASE READ BEFORE CONFIRMING ORDER,,,"",,,Shop location,,0,0,0,1,1,
blue-frock-with-big-bow-on-shoulder,BLUE FROCK WITH BIG BOW ON SHOULDER,SIZE,6-7 years,"IMPORTANT NOTICE: EVERY DRESS HAS DIFFERENT SIZES CHART, KINDLY CONFIRM THE SIZE ON WHAT'S APP BEFORE CONFIRMING YOUR ORDER AS WE HAVE NO RETURN OR REFUND.",PLEASE READ BEFORE CONFIRMING ORDER,,,"",,,Shop location,,0,0,0,1,1,
blue-frock-with-big-bow-on-shoulder,BLUE FROCK WITH BIG BOW ON SHOULDER,SIZE,7-8 years,"IMPORTANT NOTICE: EVERY DRESS HAS DIFFERENT SIZES CHART, KINDLY CONFIRM THE SIZE ON WHAT'S APP BEFORE CONFIRMING YOUR ORDER AS WE HAVE NO RETURN OR REFUND.",PLEASE READ BEFORE CONFIRMING ORDER,,,"",,,Shop location,,0,0,0,1,1,
blue-frock-with-big-bow-on-shoulder,BLUE FROCK WITH BIG BOW ON SHOULDER,SIZE,8-9 years,"IMPORTANT NOTICE: EVERY DRESS HAS DIFFERENT SIZES CHART, KINDLY CONFIRM THE SIZE ON WHAT'S APP BEFORE CONFIRMING YOUR ORDER AS WE HAVE NO RETURN OR REFUND.",PLEASE READ BEFORE CONFIRMING ORDER,,,"",,,Shop location,,0,0,0,1,1,
blue-frock-with-big-bow-on-shoulder,BLUE FROCK WITH BIG BOW ON SHOULDER,SIZE,9-10 years,"IMPORTANT NOTICE: EVERY DRESS HAS DIFFERENT SIZES CHART, KINDLY CONFIRM THE SIZE ON WHAT'S APP BEFORE CONFIRMING YOUR ORDER AS WE HAVE NO RETURN OR REFUND.",PLEASE READ BEFORE CONFIRMING ORDER,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-seq-floral-frock,CREAM SLEEVELESS SEQ FLORAL FROCK,Size,4-5 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-seq-floral-frock,CREAM SLEEVELESS SEQ FLORAL FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-seq-floral-frock,CREAM SLEEVELESS SEQ FLORAL FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-seq-floral-frock,CREAM SLEEVELESS SEQ FLORAL FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-seq-floral-frock,CREAM SLEEVELESS SEQ FLORAL FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
cream-sleeveless-seq-floral-frock,CREAM SLEEVELESS SEQ FLORAL FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sleeveless-seq-floral-frock,PINK SLEEVELESS SEQ FLORAL FROCK,Size,4-5 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sleeveless-seq-floral-frock,PINK SLEEVELESS SEQ FLORAL FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sleeveless-seq-floral-frock,PINK SLEEVELESS SEQ FLORAL FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sleeveless-seq-floral-frock,PINK SLEEVELESS SEQ FLORAL FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sleeveless-seq-floral-frock,PINK SLEEVELESS SEQ FLORAL FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
pink-sleeveless-seq-floral-frock,PINK SLEEVELESS SEQ FLORAL FROCK,Size,9-10 years,,,,,"",,,Shop location,,0,0,0,1,1,
lavender-sleeveless-3d-floral-frock,LAVENDER SLEEVELESS 3D FLORAL FROCK,Size,4-5 years,,,,,"",,,Shop location,,0,0,0,1,1,
lavender-sleeveless-3d-floral-frock,LAVENDER SLEEVELESS 3D FLORAL FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
lavender-sleeveless-3d-floral-frock,LAVENDER SLEEVELESS 3D FLORAL FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
lavender-sleeveless-3d-floral-frock,LAVENDER SLEEVELESS 3D FLORAL FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
lavender-sleeveless-3d-floral-frock,LAVENDER SLEEVELESS 3D FLORAL FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
beige-sleeveless-3d-floral-frock,BEIGE SLEEVELESS 3D FLORAL FROCK,Size,4-5 years,,,,,"",,,Shop location,,0,0,0,1,1,
beige-sleeveless-3d-floral-frock,BEIGE SLEEVELESS 3D FLORAL FROCK,Size,5-6 years,,,,,"",,,Shop location,,0,0,0,1,1,
beige-sleeveless-3d-floral-frock,BEIGE SLEEVELESS 3D FLORAL FROCK,Size,6-7 years,,,,,"",,,Shop location,,0,0,0,1,1,
beige-sleeveless-3d-floral-frock,BEIGE SLEEVELESS 3D FLORAL FROCK,Size,7-8 years,,,,,"",,,Shop location,,0,0,0,1,1,
beige-sleeveless-3d-floral-frock,BEIGE SLEEVELESS 3D FLORAL FROCK,Size,8-9 years,,,,,"",,,Shop location,,0,0,0,1,1,
